album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;01m2DCc6vqkdSif3RkGB4c;Explorations;7AZeRyKPauVdxuAsovyMLL;ekva;2018-02-24;2
single;01pwDXmi4WPLu78l2P9c6H;Mirishesh mi na Sex;4Wy1vjP5MXgeKrzh9fFcAq;ARTi;2019-02-05;2
single;01vx0pHpr5i8xC7ILxMiaQ;Exafanisou;4JA0zvuGJpScETDDJvVwMV;Andreas Savva;2017-06-06;3
compilation;01xOGXHgs5TSSQGXkIHu2g;Celine Gibassier;3oPqQB4iVTcbE2uj2cQCcV;SONYA;2014-10-28;3
single;01zLWHHegLvoMMQqszLh8f;With You;0OHAbR0jvj9lAAdOJBZhOE;Eleonora;2019-03-14;4
album;021rCT0PWx4b54huC7Qg11;Most vagy soha;3sZUBtLsyDEudWgwTGLC9o;Rotor;2019-02-15;4
album;02AIgZW01UgC0TrtADQbP8;La Noche de los Amigos;0R7hVTyBZQ9ApxMtDEAwyL;Sonora Palacio;1990-10-08;4
album;02AP2uZZguqrtCAm5C08IN;Acoustic Sunshine Lounge Playlist;2FIbpgL5x2AO5UsPwLj89I;Soft Sexy Guitar - Chill Out Background Instrumental Music Songs;2020-09-04;4
single;02DnNztoHSMrVpstIfCsqd;Target;0efuKx78aSQReSR5vEsPMs;Lowky;2020-07-07;1
single;02F6yrXyYTuc5ybmUnjuWd;بلا غيبه;6Dj89uhTCuQBVYOoLiqTfo;Akram Alrahal;2017-04-11;4
single;02JtdMEYZUZodZEK0zbGcq;Mans Džems (feat. Salvadors daLean);5b3mATv9yJEZvuRfYk91Y8;Zemsegu Pasaule;2017-11-05;2
album;02MZzJ4dGNQNM04Igz55Va;Cozy Lounges, Chill Out;4qTqsahR2vVTbN4yViuQys;Dinner Jazz Collective;2020-02-12;2
album;02OLutIM6sTgTcjWnuL9qM;קוץ ברוח;45olrcRwLHdq9uqezp67Cy;Shalom Gad;2010-01-01;3
single;02RUBePOag5HLtx4rjTMFG;Kokteilis;21kWQp35G2DvunDRNKlAZl;Tranzīts;2006-11-11;3
album;02T11jsFU8GBSqGWO4mK2P;Lūgšana (Baltie Ziemassvētki);17cWYfKe19OhBcdAGqGeBC;Time After Time;2001-12-06;3
album;02U3FsNnHm2qXxggwXhrAU;Delony;6uxT2qSLGzGkm3frsoMPuw;Abd El Basset Hamouda;2019-01-20;4
single;02U7KGLQlsziNmdZpbDZKl;Saturnine Moon;3hYcThE43tUZpmbJuGq4MK;Arduinna's Dawn;2020-09-04;3
album;02WJ8tpNuQpwnjnZPchKBJ;Fountain of Fun;4ScK89NnanD4HYtjSjhLeO;Muriel;2016-03-11;4
single;02XTUVBEb7c9YOShhV9Z9x;Buttercup;45cni6xv1V1aWAAVEtWljL;E6;2018-04-05;3
single;02YHQRdoWAZTAuNDMemwd4;Jaish Al Balad;0dMebvi9NQ4TNjqWIH9dXp;Mohamed Al Shehhi;2019-11-30;4
album;02a1LQ06dVcbgt9yG03J3Y;Slaido blondīņu cirks;00D0AmZgc4fQQ94oXRKbAd;Age Of Stones;2010;4
album;02cbJYA1z3C8D63bQl7Qrt;לאהוב בלי להכיר;48ZsnS21YS0UzZO5Am4s7s;Danny Hadar;2019-01-08;4
single;02dTCF0kYd9gvyANmsOJ4b;Убий ме;4AZihrM3P96d5mA9kvsxxH;Tsvetelina Yaneva;2018-03-13;2
album;02eIKYKBZzy0zO5bKWnisa;על כנפי הדימיון;1eED8m72JKDEdZis6jTaPp;יציאת חירום - אלכס טופל;2018-09-17;4
